year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1836,101.5,69.8,122.2,75.1,13.8,76.5,109.2,63.1,113.2,120.8,150,108.6,,211.1,248.8,384.1,1123.8
1837,79.5,104.7,36.2,54.1,39.9,57.9,87.5,90.7,67.5,97,97.8,96,292.8,130.2,236.1,262.3,908.9
1838,35.4,55.5,69.4,57.1,61.8,117.8,84.2,92.8,74.9,93.7,120.5,74.3,186.9,188.3,294.9,289.1,937.4
1839,75.7,67.2,83.1,38.4,35.5,93.7,118.5,84.3,145.1,102.1,116,103.9,217.2,157,296.5,363.3,1063.6
1840,124.6,67.9,14.2,23.2,83.6,68.6,90.3,78,106.1,65.9,126.3,41,296.5,121,237,298.3,889.8
1841,80,58.6,74.3,56.6,70.4,70.1,91.2,118,118.6,151.4,108.5,123.7,179.6,201.2,279.4,378.5,1121.4
1842,77.9,68.4,110.9,11.2,65.8,63.1,77.9,64.3,90,63.9,138.3,91.5,270,188,205.4,292.3,923.5
1843,104.4,57.4,42.4,96.9,99.1,68.2,92,96.5,27.4,163.2,115.7,41,253.3,238.4,256.7,306.4,1004.3
1844,82.3,94.9,90.2,30.6,11.6,66.7,74,85,65.1,91.8,112.1,26.1,218.2,132.4,225.7,269,830.4
1845,90.9,47.6,63.8,52.4,53.3,82.2,84.5,108.2,86.8,117.8,105.9,135.1,164.6,169.5,274.9,310.5,1028.5
1846,109.7,60.1,81.1,96.3,49,74.7,114.8,114.7,64.1,157,85.8,54.5,305,226.4,304.2,306.9,1061.8
1847,63,53.8,43.5,65.1,92.6,70,48.6,60.6,80.6,131.2,103.8,149.3,171.3,201.2,179.3,315.6,962.2
1848,60.6,171.1,106.1,74.7,34.6,122.7,93.2,111.7,78.7,132.7,92.7,100.6,381.1,215.5,327.5,304.1,1179.5
1849,130.7,76.3,41.4,74.2,74.6,46.1,95.8,71.2,92.4,97.5,92.2,94.5,307.7,190.2,213.1,282.1,987
1850,69.9,105.3,31.2,86.1,64.1,52.6,88.5,91.2,69.4,86.4,116.5,88.3,269.7,181.4,232.3,272.3,949.4
